year,month,week,drug_class,claims_per_1000ppl
2013,4,15,Penicillins,3.760129659643436
2013,4,15,Quinolones,1.2517142500935046
2013,4,15,Tetracyclines,0.7480364044383493
2013,4,16,Macrolides,2.540830320408926
2013,4,16,Nitrofurans,0.3690312928562523
2013,4,16,Penicillins,3.5731205585338484
2013,4,16,Quinolones,1.074678967709762
2013,4,16,Tetracyclines,0.7455429497568882
2013,4,17,Macrolides,3.0569754394713877
2013,4,17,Nitrofurans,0.34659020072310187
2013,4,17,Penicillins,3.485849644682708
2013,4,17,Quinolones,1.271661887545194
2013,4,17,Tetracyclines,0.8053858621119561
2013,4,18,Macrolides,2.792669243236504
2013,4,18,Nitrofurans,0.3889789303079416
2013,4,18,Penicillins,3.470888916593941
2013,4,18,Quinolones,1.2517142500935046
2013,4,18,Tetracyclines,0.7779578606158832
2013,5,19,Macrolides,3.001521933528121
2013,5,19,Nitrofurans,0.4159785584225695
2013,5,19,Penicillins,3.5171360748063956
2013,5,19,Quinolones,1.2554083439818864
2013,5,19,Tetracyclines,0.7921028837028568
2013,5,20,Macrolides,3.210756657525102
2013,5,20,Nitrofurans,0.39854233142282103
