organism,drug_code,week,type,mean_deviate
E. coli,NIT,34,Predicted mean MIC seasonal deviate,5.69863591496689e-4
E. coli,NIT,35,Actual mean MIC seasonal deviate,-0.03655926053565017
E. coli,NIT,35,Predicted mean MIC seasonal deviate,-0.0011234462405833332
E. coli,NIT,36,Actual mean MIC seasonal deviate,-0.01766225533997372
E. coli,NIT,36,Predicted mean MIC seasonal deviate,-0.0010912838210655358
E. coli,NIT,37,Actual mean MIC seasonal deviate,-0.06325594010166728
E. coli,NIT,37,Predicted mean MIC seasonal deviate,-7.699610934329352e-4
E. coli,NIT,38,Actual mean MIC seasonal deviate,-0.04110461163443237
E. coli,NIT,38,Predicted mean MIC seasonal deviate,-0.0010699055108757802
E. coli,NIT,39,Actual mean MIC seasonal deviate,-0.017205257012963868
E. coli,NIT,39,Predicted mean MIC seasonal deviate,-7.236000631980386e-4
E. coli,NIT,40,Actual mean MIC seasonal deviate,-0.03286623858718785
E. coli,NIT,40,Predicted mean MIC seasonal deviate,-9.365442525225514e-4
E. coli,NIT,41,Actual mean MIC seasonal deviate,-0.016547515089204948
E. coli,NIT,41,Predicted mean MIC seasonal deviate,-8.258602240844433e-5
E. coli,NIT,42,Actual mean MIC seasonal deviate,-0.0014822602673697735
E. coli,NIT,42,Predicted mean MIC seasonal deviate,-9.611111092080073e-4
E. coli,NIT,43,Actual mean MIC seasonal deviate,-0.021007937725017432
E. coli,NIT,43,Predicted mean MIC seasonal deviate,5.593542129939582e-5
E. coli,NIT,44,Actual mean MIC seasonal deviate,-0.03248088151778622
E. coli,NIT,44,Predicted mean MIC seasonal deviate,1.9840156295070568e-4
E. coli,NIT,45,Actual mean MIC seasonal deviate,-0.006774829888526452
E. coli,NIT,45,Predicted mean MIC seasonal deviate,-7.162179867398846e-4
E. coli,NIT,46,Actual mean MIC seasonal deviate,0.019481493539603743
E. coli,NIT,46,Predicted mean MIC seasonal deviate,-9.510164725536096e-4
E. coli,NIT,47,Actual mean MIC seasonal deviate,-0.01618158965249685
E. coli,NIT,47,Predicted mean MIC seasonal deviate,-8.059902725709394e-4
E. coli,NIT,48,Actual mean MIC seasonal deviate,-0.0085347128212301
E. coli,NIT,48,Predicted mean MIC seasonal deviate,-3.176864859119339e-4
E. coli,NIT,49,Actual mean MIC seasonal deviate,0.02978139353595487
E. coli,NIT,49,Predicted mean MIC seasonal deviate,-0.001362996315235121
E. coli,NIT,50,Actual mean MIC seasonal deviate,0.010371923412551243
E. coli,NIT,50,Predicted mean MIC seasonal deviate,-3.2956203600563504e-4
E. coli,NIT,51,Actual mean MIC seasonal deviate,0.004534748067068425
E. coli,NIT,51,Predicted mean MIC seasonal deviate,3.8207582139641654e-4
E. coli,NIT,52,Actual mean MIC seasonal deviate,0.009379235303531349
E. coli,NIT,52,Predicted mean MIC seasonal deviate,-3.7553322481103806e-4
K. pneumoniae,CIP,1,Actual mean MIC seasonal deviate,0.01253155677493705
K. pneumoniae,CIP,1,Predicted mean MIC seasonal deviate,0.011895998436803067
K. pneumoniae,CIP,2,Actual mean MIC seasonal deviate,0.07999433237142785
K. pneumoniae,CIP,2,Predicted mean MIC seasonal deviate,-0.00540358699570612
K. pneumoniae,CIP,3,Actual mean MIC seasonal deviate,0.1425182118107097
K. pneumoniae,CIP,3,Predicted mean MIC seasonal deviate,0.0040405720775749466
K. pneumoniae,CIP,4,Actual mean MIC seasonal deviate,-0.014652060522401762
K. pneumoniae,CIP,4,Predicted mean MIC seasonal deviate,-0.019303975891014718
K. pneumoniae,CIP,5,Actual mean MIC seasonal deviate,-0.006841302888035324
K. pneumoniae,CIP,5,Predicted mean MIC seasonal deviate,0.006700588515992064
K. pneumoniae,CIP,6,Actual mean MIC seasonal deviate,0.07333310076448397
K. pneumoniae,CIP,6,Predicted mean MIC seasonal deviate,0.027264165611104996
K. pneumoniae,CIP,7,Actual mean MIC seasonal deviate,-0.023163442135181442
K. pneumoniae,CIP,7,Predicted mean MIC seasonal deviate,-0.018778477593582723
K. pneumoniae,CIP,8,Actual mean MIC seasonal deviate,0.09107473685813632
K. pneumoniae,CIP,8,Predicted mean MIC seasonal deviate,0.0035134413155431393
K. pneumoniae,CIP,9,Actual mean MIC seasonal deviate,-0.003236995589136816
K. pneumoniae,CIP,9,Predicted mean MIC seasonal deviate,0.013384970486603958
K. pneumoniae,CIP,10,Actual mean MIC seasonal deviate,-0.04460880207269508
K. pneumoniae,CIP,10,Predicted mean MIC seasonal deviate,-4.483502466909513e-4
K. pneumoniae,CIP,11,Actual mean MIC seasonal deviate,0.052004524678496165
K. pneumoniae,CIP,11,Predicted mean MIC seasonal deviate,0.019790854486649308
K. pneumoniae,CIP,12,Actual mean MIC seasonal deviate,0.13914035174859635
K. pneumoniae,CIP,12,Predicted mean MIC seasonal deviate,0.002621229154038108
K. pneumoniae,CIP,13,Actual mean MIC seasonal deviate,0.1053881175248346
K. pneumoniae,CIP,13,Predicted mean MIC seasonal deviate,-0.005782040464726169
K. pneumoniae,CIP,14,Actual mean MIC seasonal deviate,0.14327837590138615
K. pneumoniae,CIP,14,Predicted mean MIC seasonal deviate,0.012674189590153173
K. pneumoniae,CIP,15,Actual mean MIC seasonal deviate,0.04721971194605553
K. pneumoniae,CIP,15,Predicted mean MIC seasonal deviate,-0.011003001107604181
K. pneumoniae,CIP,16,Actual mean MIC seasonal deviate,-0.01350551409528892
K. pneumoniae,CIP,16,Predicted mean MIC seasonal deviate,0.006203446511495818
K. pneumoniae,CIP,17,Actual mean MIC seasonal deviate,0.16385822762545946
K. pneumoniae,CIP,17,Predicted mean MIC seasonal deviate,0.012025649217141516
K. pneumoniae,CIP,18,Actual mean MIC seasonal deviate,0.012848043739992565
K. pneumoniae,CIP,18,Predicted mean MIC seasonal deviate,-0.010112203423672987
K. pneumoniae,CIP,19,Actual mean MIC seasonal deviate,-0.00576738327832148
K. pneumoniae,CIP,19,Predicted mean MIC seasonal deviate,-0.004185499497941511
K. pneumoniae,CIP,20,Actual mean MIC seasonal deviate,-0.057322466043041975
K. pneumoniae,CIP,20,Predicted mean MIC seasonal deviate,-0.0010797936285949522
K. pneumoniae,CIP,21,Actual mean MIC seasonal deviate,-0.012684861218433279
K. pneumoniae,CIP,21,Predicted mean MIC seasonal deviate,-0.005879913322928649
K. pneumoniae,CIP,22,Actual mean MIC seasonal deviate,-0.031185076733090282
K. pneumoniae,CIP,22,Predicted mean MIC seasonal deviate,-5.474653226518703e-4
K. pneumoniae,CIP,23,Actual mean MIC seasonal deviate,-0.041403498014731865
K. pneumoniae,CIP,23,Predicted mean MIC seasonal deviate,-2.5584428368186576e-5
K. pneumoniae,CIP,24,Actual mean MIC seasonal deviate,-0.12998358753803363
K. pneumoniae,CIP,24,Predicted mean MIC seasonal deviate,-0.0037038184732342576
K. pneumoniae,CIP,25,Actual mean MIC seasonal deviate,0.05757635918860427
K. pneumoniae,CIP,25,Predicted mean MIC seasonal deviate,-0.03186222204050164
K. pneumoniae,CIP,26,Actual mean MIC seasonal deviate,-0.015016978801840785
K. pneumoniae,CIP,26,Predicted mean MIC seasonal deviate,-0.012350635137190365
