organism,drugA,drugB,drugB_pheno,period,omega,AIC,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value,p.value.BH
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,MGH_2008,0.0010818475912137333,-0.006684163020752462,0.008847858203179928,0.0039623231208448205,0.2730336618743675,0.7848304303870702,0.9383742373256795
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,MGH_2009,0.01122562742401347,0.00333136940210854,0.019119885445918403,0.004027756675211296,2.7870669281243443,0.0053242469938370104,0.03828116308661172
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,MGH_2010,0.004503048736638379,-0.00302455242543284,0.012030649898709597,0.0038406834112503997,1.1724602771079053,0.2410276212460594,0.5375646340518173
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,MGH_2011,-0.005144572179387841,-0.012501202387912788,0.0022120580291371053,0.003753451730007852,-1.370624307822677,0.17050896478461802,0.4789870155781636
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,MGH_2012,-0.0021292781696092412,-0.00941964381522339,0.005161087476004907,0.0037196426582935325,-0.5724415932432859,0.567029898525107,0.8496426539166394
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,MGH_2013,-0.0061583868472188386,-0.013039668848940436,7.228951545027581e-4,0.0035109226781717792,-1.7540650739781192,0.07943614685698087,0.30744188083471763
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,MGH_2014,0.006094438949136288,-9.18448590744375e-4,0.013107326489016951,0.003578069594746346,1.7032756875620054,0.08853352094142243,0.3225775812519154
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,MGH_2015,0.0012008932084535552,-0.00589115538016771,0.008292941797074821,0.0036184586270780698,0.3318797676631955,0.7399838610310217,0.9168823597960133
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,MGH_2016,7.27223332333641e-4,-0.00646827980307179,0.007922726467739071,0.003671242529027392,0.19808643166004655,0.8429796476030998,0.9383742373256795
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,intercept,BWH_2013,-0.052412810054081646,-0.6588933973756358,0.5540677772674726,0.3094345570150247,-0.16938253619661725,0.8654976371595487,0.8654976371595487
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,intercept,BWH_2014,-0.4129042475647657,-0.6916963008687985,-0.13411219426073284,0.14224345727937301,-2.902799576600573,0.0037028617372607186,0.004167134921443255
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,intercept,BWH_2015,-0.14086682721887697,-0.465631032257128,0.18389737781937407,0.16569906773795323,-0.850136510373447,0.39526035196248,0.40070470942752795
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,intercept,BWH_2016,-0.49586356763328737,-0.8035040495988632,-0.18822308566771145,0.1569623137936232,-3.1591249877041028,0.0015850184286477626,0.0018170927780136342
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,intercept,BWH_2017,-0.17407853957348127,-0.47010144772383755,0.12194436857687499,0.15103487129628262,-1.1525718403930325,0.24910126925598308,0.25605940526872006
